Unnamed: 0,TimeStamp,Relative Time,srcIP,dstIP,srcPort,dstPort,ipLen,len,fmt,uType,asduType,numix,cot,oa,addr,ioa,label,attack_type
1840,16.290313,6446.135083,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,1.0,1,Command Injection
14873,8.112137,62984.370477,3232238447,3232238584,61254,2404,46,4,2,2.0,9.0,1.0,3.0,0.0,55.0,136.0,1,Command Injection
14876,8.113216,62995.16647,3232238447,3232238584,61254,2404,46,4,2,2.0,9.0,1.0,3.0,0.0,55.0,136.0,1,Command Injection
1979,16.3628,6891.007598,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,1.0,1,Command Injection
411,15.053348,1436.485668,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,1.0,0,Normal
1997,16.372603,6949.037097,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,1.0,1,Command Injection
1945,16.343458,6777.579939,3232238447,3232238584,61254,2404,46,4,2,2.0,9.0,1.0,3.0,0.0,55.0,136.0,1,Command Injection
1832,16.283558,6418.582531,3232238447,3232238584,61254,2404,46,4,2,2.0,9.0,1.0,3.0,0.0,55.0,136.0,1,Command Injection
14995,8.194887,63491.869963,3232238447,3232238584,61254,2404,46,4,2,2.0,9.0,1.0,3.0,0.0,55.0,136.0,1,Command Injection
136,14.492741,470.410564,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,1.0,0,Normal
14947,8.165208,63315.087026,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,1.0,1,Command Injection
76,14.455978,262.782204,3232238447,3232238584,61254,2404,46,4,2,2.0,9.0,1.0,3.0,0.0,55.0,136.0,0,Normal
1955,16.351418,6817.181601,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,1.0,1,Command Injection
15109,8.280613,63989.134424,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,1.0,1,Command Injection
15074,8.253517,63838.171503,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,1.0,1,Command Injection
15035,8.225186,63674.866334,3232238447,3232238584,61254,2404,46,4,2,2.0,9.0,1.0,3.0,0.0,55.0,136.0,1,Command Injection
280,14.575036,973.361144,3232238447,3232238584,61254,2404,46,4,2,2.0,9.0,1.0,3.0,0.0,55.0,136.0,0,Normal
15019,8.214122,63604.225026,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,2.0,1,Command Injection
14897,8.125597,63078.969979,3232238447,3232238584,61254,2404,46,4,2,2.0,9.0,1.0,3.0,0.0,55.0,136.0,1,Command Injection
319,14.595863,1101.633731,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,1.0,0,Normal
1868,16.302793,6530.936605,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,1.0,1,Command Injection
174,14.513125,594.257807,3232238447,3232238584,61254,2404,46,4,2,2.0,9.0,1.0,3.0,0.0,55.0,136.0,0,Normal
371,15.032731,1310.318189,3232238447,3232238584,61254,2404,46,4,0,2.0,9.0,1.0,3.0,0.0,55.0,136.0,0,Normal
1846,16.291816,6461.168663,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,1.0,1,Command Injection
210,14.535288,735.884496,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,1.0,0,Normal
235,14.551371,816.712772,3232238447,3232238584,61254,2404,46,4,2,2.0,9.0,1.0,3.0,0.0,55.0,136.0,0,Normal
101,14.473054,353.541098,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,1.0,0,Normal
15122,8.285794,64040.941913,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,1.0,1,Command Injection
15038,8.230781,63690.809191,3232238447,3232238584,61254,2404,46,4,2,2.0,9.0,1.0,3.0,0.0,55.0,136.0,1,Command Injection
15083,8.260717,63870.169747,3232238447,3232238584,61254,2404,46,4,2,2.0,9.0,1.0,3.0,0.0,55.0,136.0,1,Command Injection
346,15.013202,1195.019645,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,1.0,0,Normal
139,14.493961,482.613465,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,1.0,0,Normal
1940,16.342118,6764.179891,3232238447,3232238584,61254,2404,46,4,2,2.0,9.0,1.0,3.0,0.0,55.0,136.0,1,Command Injection
499,15.105765,1760.654166,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,1.0,0,Normal
370,15.031719,1300.190014,3232238447,3232238584,61254,2404,46,4,2,2.0,9.0,1.0,3.0,0.0,55.0,136.0,0,Normal
198,14.531927,702.275653,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,1.0,0,Normal
14823,8.080934,62792.346804,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,1.0,1,Command Injection
1903,16.322293,6645.937598,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,1.0,1,Command Injection
15037,8.230681,63689.809581,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,1.0,1,Command Injection
59,14.445507,198.078108,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,1.0,0,Normal
328,15.003162,1134.623232,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,1.0,0,Normal
96,14.471893,341.937714,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,1.0,0,Normal
312,14.593824,1081.244091,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,2.0,0,Normal
15110,8.280713,63990.134096,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,3.0,1,Command Injection
299,14.585286,1035.860628,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,1.0,0,Normal
277,14.573831,961.318236,3232238447,3232238584,61254,2404,46,4,2,2.0,9.0,1.0,3.0,0.0,55.0,136.0,0,Normal
15060,8.244717,63790.173906,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,1.0,1,Command Injection
1920,16.331841,6701.416286,3232238447,3232238584,61254,2404,46,4,2,2.0,9.0,1.0,3.0,0.0,55.0,136.0,1,Command Injection
439,15.071092,1533.924665,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,1.0,0,Normal
14973,8.182886,63411.867421,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,1.0,1,Command Injection
1889,16.314173,6604.730729,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,1.0,1,Command Injection
15015,8.211582,63578.821894,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,1.0,1,Command Injection
261,14.564371,906.716588,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,1.0,0,Normal
1897,16.320313,6626.135102,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,1.0,1,Command Injection
23,14.430167,84.669994,3232238584,3232238447,2404,61254,67,25,1,2.0,36.0,1.0,3.0,0.0,65535.0,1.0,0,Normal
30,14.432327,106.274158,3232238447,3232238584,61254,2404,46,4,2,2.0,9.0,1.0,3.0,0.0,55.0,136.0,0,Normal
