R1-PA1:VH,R1-PM1:V,R1-PA2:VH,R1-PM2:V,R1-PA3:VH,R1-PM3:V,R1-PA4:IH,R1-PM4:I,R1-PA5:IH,R1-PM5:I,R1-PA6:IH,R1-PM6:I,R1-PA7:VH,R1-PM7:V,R1-PA8:VH,R1-PM8:V,R1-PA9:VH,R1-PM9:V,R1-PA10:IH,R1-PM10:I,R1-PA11:IH,R1-PM11:I,R1-PA12:IH,R1-PM12:I,R1:F,R1:DF,R1-PA:Z,R1-PA:ZH,R1:S,R2-PA1:VH,R2-PM1:V,R2-PA2:VH,R2-PM2:V,R2-PA3:VH,R2-PM3:V,R2-PA4:IH,R2-PM4:I,R2-PA5:IH,R2-PM5:I,R2-PA6:IH,R2-PM6:I,R2-PA7:VH,R2-PM7:V,R2-PA8:VH,R2-PM8:V,R2-PA9:VH,R2-PM9:V,R2-PA10:IH,R2-PM10:I,R2-PA11:IH,R2-PM11:I,R2-PA12:IH,R2-PM12:I,R2:F,R2:DF,R2-PA:Z,R2-PA:ZH,R2:S,R3-PA1:VH,R3-PM1:V,R3-PA2:VH,R3-PM2:V,R3-PA3:VH,R3-PM3:V,R3-PA4:IH,R3-PM4:I,R3-PA5:IH,R3-PM5:I,R3-PA6:IH,R3-PM6:I,R3-PA7:VH,R3-PM7:V,R3-PA8:VH,R3-PM8:V,R3-PA9:VH,R3-PM9:V,R3-PA10:IH,R3-PM10:I,R3-PA11:IH,R3-PM11:I,R3-PA12:IH,R3-PM12:I,R3:F,R3:DF,R3-PA:Z,R3-PA:ZH,R3:S,R4-PA1:VH,R4-PM1:V,R4-PA2:VH,R4-PM2:V,R4-PA3:VH,R4-PM3:V,R4-PA4:IH,R4-PM4:I,R4-PA5:IH,R4-PM5:I,R4-PA6:IH,R4-PM6:I,R4-PA7:VH,R4-PM7:V,R4-PA8:VH,R4-PM8:V,R4-PA9:VH,R4-PM9:V,R4-PA10:IH,R4-PM10:I,R4-PA11:IH,R4-PM11:I,R4-PA12:IH,R4-PM12:I,R4:F,R4:DF,R4-PA:Z,R4-PA:ZH,R4:S,control_panel_log1,control_panel_log2,control_panel_log3,control_panel_log4,relay1_log,relay2_log,relay3_log,relay4_log,snort_log1,snort_log2,snort_log3,snort_log4,marker
-71.03530744,131108.1288,168.9824425,130481.2971,48.99935064,131183.3486,-75.47000077,472.24069,164.5649379,472.4238,44.54746857,471.50825,-71.01811871,130932.6159,0.0,0.0,0.0,0.0,-75.45281204,472.05758,0.0,0.0,0.0,0.0,60.0,0.0,7.888488791,0.07952169,0,-78.26030524,128826.4613,161.7860926,128801.388,41.79154158,128851.5345,97.10488712,477.36777,-22.85528645,477.73399,-142.9415107,477.55088,-78.23165735,128826.4613,0.0,0.0,0.0,0.0,97.09915754,477.55088,0.0,0.0,0.0,0.0,60.0,0.0,7.664603244,-3.060246267,0,-78.28895313,128801.388,161.7574447,128776.3147,41.74570495,128876.6078,97.15645332,473.33935,-23.13030619,473.88868,-142.9816178,474.62112,-78.26603481,128801.388,0.0,0.0,0.0,0.0,97.01321387,473.88868,0.0,0.0,0.0,0.0,60.0,0.0,7.749482229,-3.067772797,0,-71.15570183,131536.3594,168.9120535,131384.7031,48.85894885,131615.7969,-75.44036829,469.5053101,164.6163973,469.6254883,44.6237193,470.3121338,-71.13372911,131511.25,0.0,0.0,0.0,0.0,-75.40192115,469.8085938,0.0,0.0,0.0,0.0,60.0,0.0,7.968532932,0.074275715,0,0,0,0,0,0,0,0,0,0,0,0,0,Attack
125.3517064,131985.6933,5.374344118,131935.5467,-114.6202069,132035.8398,125.3402473,327.58379,4.320101775,333.44331,-114.2878914,327.7669,125.3688952,131985.6933,0.0,0.0,0.0,0.0,125.1225233,329.598,0.0,0.0,-38.06731591,3.47909,59.999,0.0,11.7959672,-0.00074443,0,120.374448,131031.2266,0.436706554,130881.375,-119.6109011,131105.125,-65.28350816,333.0802917,173.7680038,337.0571289,54.93438846,332.9830322,120.3964275,131005.9609,0.0,0.0,0.0,0.0,-65.53619784,334.36203,0.0,0.0,0.0,0.0,59.99900055,0.0,11.42863949,-3.046269636,0,120.3784328,130556.5169,0.41825919,130556.5169,-119.5648327,130581.5902,-65.25416329,331.06288,173.8239359,333.80953,54.85497931,330.14733,120.4070806,130556.5169,0.0,0.0,0.0,0.0,-65.52918303,331.61221,0.0,0.0,0.0,0.0,60.0,0.0,11.39811461,-3.046681176,0,125.4147318,132035.8398,5.443099054,131383.9348,-114.5571816,132085.9864,125.615267,326.48513,4.47480038,329.96422,-114.3509168,325.75269,125.4319205,131835.2537,0.0,0.0,0.0,0.0,125.248574,327.40068,0.0,0.0,0.0,0.0,60.0,0.0,11.72318967,-0.008949425,0,0,0,0,0,0,0,0,0,0,0,0,0,Attack
125.0594979,131985.6933,5.087865221,131960.62,-114.9066858,132035.8398,124.3834077,329.598,3.987786254,333.62642,-115.0499253,329.23178,125.0766867,131985.6933,0.0,0.0,0.0,0.0,124.4407035,330.87977,0.0,0.0,0.0,0.0,60.0,0.0,11.628906,0.017476057,0,120.083318,131026.9219,0.140075694,130868.9375,-119.9075362,131113.0156,-66.00860787,334.9571228,173.3944744,337.3889771,54.16534672,334.7911987,120.1052839,131003.0703,0.0,0.0,0.0,0.0,-66.15142713,335.7067261,0.0,0.0,0.0,0.0,60.0,0.0,11.27488937,-3.037104362,0,120.0804947,130556.5169,0.120321137,130531.4436,-119.8627707,130581.5902,-66.03911547,332.52776,173.5088091,334.17575,54.09867502,331.79532,120.1148722,130556.5169,0.0,0.0,0.0,0.0,-66.14797745,332.89398,0.0,0.0,0.0,0.0,60.0,0.0,11.27025574,-3.034796761,0,125.1225233,132035.8398,5.145161,131383.9348,-114.8551196,132085.9864,124.7443712,327.7669,4.148214437,329.96422,-115.0441957,327.21757,125.139712,131835.2537,0.0,0.0,0.0,0.0,124.6125909,328.31623,0.0,0.0,0.0,0.0,60.0,0.0,11.61062912,0.00564076,0,0,0,0,0,0,0,0,0,0,0,0,0,Attack
-140.4491443,131584.521,99.58006479,131534.3744,-20.42021582,131634.6675,-140.8387556,388.55942,97.05332092,395.33449,-20.8671229,387.09454,-140.4319556,131584.521,0.0,0.0,0.0,0.0,-141.5549529,390.20741,-85.66864953,5.85952,37.21360879,4.94397,60.0,0.0,9.955368678,-0.005885457,0,-146.4065529,130265.3203,93.63922292,130108.9063,-26.38092094,130345.8281,30.08331548,393.4078369,-91.61224817,400.835022,150.487987,392.0345459,-146.384587,130239.4609,0.0,0.0,0.0,0.0,29.64386111,395.3762207,81.13678021,5.167007446,-139.3972761,5.292892456,60.0,0.0,9.77079605,-3.085545011,0,-146.3964462,129804.3188,93.62130372,129779.2455,-26.35605858,129829.3921,29.97715184,391.12296,-91.61022186,397.89803,150.3899621,389.10875,-146.3792575,129804.3188,0.0,0.0,0.0,0.0,29.57035181,392.58784,79.75572508,5.12708,-137.0572342,4.94397,60.0,0.0,9.768447347,-3.081466922,0,-140.3689302,131634.6675,99.631631,130982.7625,-20.35719046,131684.814,-140.8387556,385.26344,97.15645332,393.50339,-20.77544965,384.531,-140.3689302,131434.0813,0.0,0.0,0.0,0.0,-141.4976571,387.82698,-82.29392811,5.4933,41.96915849,5.31019,60.0,0.0,10.08145445,-0.002204947,0,0,0,0,0,0,0,0,0,0,0,0,0,Attack
-24.68302181,131960.62,-144.6603841,131935.5467,95.33444753,132010.7666,-23.00425547,311.47011,-144.2020179,316.7803,96.18815465,316.04786,-24.66583308,131960.62,0.0,0.0,0.0,0.0,-23.68034567,314.76609,0.0,0.0,0.0,0.0,60.0,0.0,12.21357325,-0.049845991,0,-29.47357425,131117.4219,-149.411317,130966.6328,90.53558496,131191.3125,145.9011872,316.7095337,24.94720447,320.7721558,-95.01251441,320.148468,-29.44610664,131092.8281,0.0,0.0,0.0,0.0,145.2804596,319.1986084,0.0,0.0,0.0,0.0,60.0,0.0,11.84033782,-3.077564889,0,-29.46148983,130656.81,-149.427393,130631.7367,90.57316825,130681.8832,145.4166884,316.96341,24.53978237,319.52695,-95.52925318,319.71006,-29.43857151,130656.81,0.0,0.0,0.0,0.0,144.8093531,318.79451,0.0,0.0,0.0,0.0,59.999,0.0,11.72984331,-3.068824482,0,-24.59134857,132085.9864,-144.58017,131484.2279,95.4203912,132161.2062,-23.45116255,312.56877,-144.4942264,315.86475,95.59227854,314.9492,-24.57988941,131910.4735,0.0,0.0,0.0,0.0,-24.1157936,314.39987,0.0,0.0,0.0,0.0,59.999,0.0,12.0628473,-0.036225865,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural
-141.784136,131584.521,98.25080271,131559.4477,-21.75520748,131659.7408,-144.3853644,397.53181,95.62092643,396.43315,-24.51113448,395.5176,-141.7669472,131609.5942,0.0,0.0,0.0,0.0,-144.431201,396.61626,0.0,0.0,0.0,0.0,60.0,0.0,9.360275334,0.047950871,0,-147.741404,130284.4141,92.32635811,130140.3906,-27.72674654,130359.7813,26.688539,401.7047729,-93.25470376,401.8249512,146.7471334,401.7791748,-147.713933,130262.5234,0.0,0.0,0.0,0.0,26.72699126,401.7677307,0.0,0.0,0.0,0.0,60.0,0.0,9.221653603,-3.043484346,0,-147.7428971,129829.3921,92.29777122,129804.3188,-27.69105024,129854.4653,26.6883741,398.99669,-93.26606989,398.81358,146.5912519,398.44736,-147.7085196,129829.3921,0.0,0.0,0.0,0.0,26.66545579,398.81358,0.0,0.0,0.0,0.0,60.0,0.0,9.222698424,-3.04320256,0,-141.715381,131634.6675,98.29090975,131007.8358,-21.6979117,131709.8873,-144.3166094,393.50339,95.62092643,394.23583,-24.31632883,393.13717,-141.7039219,131459.1546,0.0,0.0,0.0,0.0,-144.3395277,393.6865,0.0,0.0,0.0,0.0,60.0,0.0,9.523129979,0.046634377,0,0,0,0,0,0,0,0,0,0,0,0,0,Attack
140.6783274,132361.7923,20.6837764,131709.8873,-99.30504505,132411.9389,142.5289811,267.88993,21.46299901,271.18591,-97.51168715,268.43926,140.6897866,132161.2062,0.0,0.0,0.0,0.0,142.1622881,269.1717,0.0,0.0,0.0,0.0,60.0,0.0,14.32230401,-0.040011941,0,136.5243834,131183.3486,16.55848028,131158.2754,-103.4360708,131208.4219,-50.64946909,272.8339,-171.6581554,275.58055,69.3565411,272.46768,136.5530313,131183.3486,0.0,0.0,0.0,0.0,-50.98751419,273.56634,0.0,0.0,0.0,0.0,60.0,0.0,13.90840059,-3.021444279,0,136.4957355,131133.2021,16.51264366,131108.1288,-103.4761778,131208.4219,-50.8557339,270.45347,-171.6352371,273.38323,69.24767912,269.1717,136.5129243,131158.2754,0.0,0.0,0.0,0.0,-51.08491701,271.0028,0.0,0.0,0.0,0.0,60.0,0.0,14.01129772,-3.011536318,0,140.561837,132775.5781,20.61859258,132626.4688,-99.42352571,132865.3906,142.7316379,266.3555298,21.55792288,269.6456909,-97.3306328,266.7331543,140.5892944,132757.3594,0.0,0.0,0.0,0.0,142.3141494,267.5628662,0.0,0.0,0.0,0.0,60.0,0.0,14.46034229,-0.046410428,0,0,0,0,0,0,0,0,0,0,0,0,0,Attack
-70.11857497,131133.2021,169.8877158,130481.2971,49.91608311,131183.3486,-74.16938658,470.5927,165.4816704,472.4238,45.89391939,469.86026,-70.10711581,130932.6159,0.0,0.0,0.0,0.0,-74.2667894,470.95892,0.0,0.0,0.0,0.0,60.0,0.0,7.975568934,0.070466527,0,-77.34930234,128826.4613,162.6970955,128801.388,42.69681489,128851.5345,98.33674638,475.90289,-21.95574271,477.73399,-141.6638148,475.53667,-77.32065445,128826.4613,0.0,0.0,0.0,0.0,98.23934355,476.45222,0.0,0.0,0.0,0.0,60.0,0.0,7.736190315,-3.066794721,0,-77.37795023,128801.388,162.6569885,128776.3147,42.63951911,128851.5345,98.36539427,471.32514,-22.23076245,474.2549,-141.7382994,473.52246,-77.3607615,128801.388,0.0,0.0,0.0,0.0,98.12475199,472.97313,0.0,0.0,0.0,0.0,59.999,0.0,7.843206277,-3.075394632,0,-70.25482037,131535.5781,169.8184196,131397.625,49.76532178,131614.7656,-74.1989131,467.9889526,165.5392514,469.6941528,45.96405172,467.8516235,-70.22735618,131515.0156,0.0,0.0,0.0,0.0,-74.23736707,468.5039673,0.0,0.0,0.0,0.0,59.99900055,0.0,8.050289025,0.068696755,0,0,0,0,0,0,0,0,0,0,0,0,0,Attack
-94.13696574,130932.6159,145.8750546,130882.4694,25.88050361,130982.7625,-96.0449152,458.87366,141.9159163,469.49404,24.36216545,455.57768,-94.11977701,130932.6159,0.0,0.0,0.0,0.0,-96.60641384,461.25409,-42.60514165,7.69062,97.80962521,7.14129,60.0,0.0,8.472424232,0.029637041,0,-101.2362716,129148.9688,138.809511,128992.75,18.76190298,129224.2422,76.72027744,462.4385986,-45.49713316,474.1802368,-163.0893036,462.3527527,-101.2197903,129120.2734,0.0,0.0,0.0,0.0,76.03363169,466.2322998,134.3655441,7.221221924,-99.3740888,7.638931274,60.0,0.0,8.304231944,-3.117972815,0,-101.2416424,128676.0216,138.7875667,128676.0216,18.79874526,128701.0949,76.46694734,460.88787,-45.50430809,470.5927,-163.2299463,458.87366,-101.2129945,128676.0216,0.0,0.0,0.0,0.0,75.9054487,463.2683,129.8551547,6.95818,-95.04796863,6.77507,59.999,0.0,8.261424235,-3.108644402,0,-94.08539954,130957.6892,145.9208913,130330.8575,25.93779939,131032.909,-96.05064478,456.12701,141.9617529,465.83184,24.41946123,453.01414,-94.0682108,130782.1763,0.0,0.0,0.0,0.0,-96.56630679,458.14122,-45.77932783,7.3244,96.91008147,6.95818,60.0,0.0,8.517789694,0.030056742,0,0,0,0,0,0,0,0,0,0,0,0,0,Attack
72.29008501,130857.3961,-47.69300687,130807.2496,-167.6932875,130932.6159,67.69496349,482.31174,-52.50585235,484.14284,-172.2139245,483.95973,72.30154417,130857.3961,0.0,0.0,0.0,0.0,67.66058603,483.4104,0.0,0.0,0.0,0.0,59.997,0.0,7.763202886,0.077278957,0,64.97039863,129001.6172,-54.97284242,128860.7734,-175.0204556,129075.0703,-119.4845563,488.5482788,120.4623388,489.7098389,0.530090341,489.6984253,64.99786282,128979.4297,0.0,0.0,0.0,0.0,-119.4900614,489.3207397,0.0,0.0,0.0,0.0,59.99900055,0.0,7.525285669,-3.065109703,0,64.97914355,128525.582,-54.99248918,128525.582,-174.9813106,128550.6553,-119.4960778,485.60772,120.4987539,485.79083,0.532850749,485.60772,65.00206186,128525.582,0.0,0.0,0.0,0.0,-119.4846186,485.79083,0.0,0.0,0.0,0.0,59.997,0.0,7.526980888,-3.0632216,0,72.34165121,130932.6159,-47.6586294,130280.7109,-167.6359917,130957.6892,67.76944801,480.48064,-52.23656218,480.66375,-172.1852766,479.56509,72.35311037,130732.0298,0.0,0.0,0.0,0.0,67.78663674,480.29753,0.0,0.0,0.0,0.0,59.999,0.0,7.749084613,0.081836689,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural
